,Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
0,#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
31,ETH,2008-02-01,2008-02-29,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2008.0,2008,,31.638415,X,base year is 2015
32,ETH,2009-02-01,2009-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2009.0,2009,,43.940276,X,base year is 2015
33,ETH,2010-02-01,2010-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2010.0,2010,,43.857139,X,base year is 2015
34,ETH,2011-02-01,2011-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2011.0,2011,,49.441654,X,base year is 2015
35,ETH,2012-02-01,2012-02-29,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2012.0,2012,,73.973791,X,base year is 2015
36,ETH,2013-02-01,2013-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2013.0,2013,,80.873212,X,base year is 2015
37,ETH,2014-02-01,2014-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2014.0,2014,,84.657578,X,base year is 2015
38,ETH,2015-02-01,2015-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2015.0,2015,,92.757833,X,base year is 2015
39,ETH,2016-02-01,2016-02-29,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2016.0,2016,,101.256742,X,base year is 2015
40,ETH,2017-02-01,2017-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2017.0,2017,,109.404178,X,base year is 2015
41,ETH,2018-02-01,2018-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2018.0,2018,,127.316431,X,base year is 2015
42,ETH,2019-02-01,2019-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2019.0,2019,,141.045583,X,base year is 2015
43,ETH,2020-02-01,2020-02-29,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2020.0,2020,,176.441052,X,base year is 2015
44,ETH,2021-02-01,2021-02-28,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2021.0,2021,,216.663784,X,base year is 2015
45,ETH,2000-03-01,2000-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2000.0,2000,,13.411894,F,base year is 2015
46,ETH,2001-03-01,2001-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2001.0,2001,,13.612470,X,base year is 2015
47,ETH,2002-03-01,2002-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2002.0,2002,,12.203790,X,base year is 2015
48,ETH,2003-03-01,2003-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2003.0,2003,,15.849075,X,base year is 2015
49,ETH,2004-03-01,2004-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2004.0,2004,,16.319364,X,base year is 2015
50,ETH,2005-03-01,2005-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2005.0,2005,,18.265003,X,base year is 2015
51,ETH,2006-03-01,2006-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2006.0,2006,,20.481226,X,base year is 2015
52,ETH,2007-03-01,2007-03-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2007.0,2007,,24.901539,X,base year is 2015
